Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_unbinned_88__MGr3G3H3I_000000288833_17	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	regulatory	high	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein			PF02195.26	ParB N-terminal domain									PF02195.26	ParB N-terminal domain	Pfam
vRhyme_unbinned_91__MGr3G3H3I_000000294607_14	vRhyme_unbinned_91__MGr3G3H3I_000000294607	vRhyme_unbinned_91__MGr3G3H3I_000000294607	regulatory	high	groES, HSPE1; chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES			PF00166.27	Chaperonin 10 Kd subunit							phrog_3188	co-chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES	KEGG
vRhyme_unbinned_94__MGr3G3H3I_000000010503|provirus_24055_37973_14	vRhyme_unbinned_94__MGr3G3H3I_000000010503|provirus_24055_37973	vRhyme_unbinned_94__MGr3G3H3I_000000010503|provirus_24055_37973	regulatory	high	alpA; prophage regulatory protein	K07733	alpA; prophage regulatory protein			PF12728.14	Helix-turn-helix domain									PF12728.14	Helix-turn-helix domain	Pfam
vRhyme_unbinned_99__MGr3G3H3I_000000077756|provirus_33272_71474_2	vRhyme_unbinned_99__MGr3G3H3I_000000077756|provirus_33272_71474	vRhyme_unbinned_99__MGr3G3H3I_000000077756|provirus_33272_71474	regulatory	high	CII-like transcriptional activator					PF06892.17	Phage regulatory protein CII (CP76)							phrog_101	CII-like transcriptional activator	PF06892.17	Phage regulatory protein CII (CP76)	Pfam
vRhyme_bin_11__LABRr1A1B1C_000000105942_4	vRhyme_bin_11__LABRr1A1B1C_000000105942	LABRr1A1B1C_vRhyme_bin_11	regulatory	medium	groES, HSPE1; chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES			PF00166.27	Chaperonin 10 Kd subunit							phrog_3188	co-chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES	KEGG
vRhyme_bin_1__BAr2D2E2F_000000009081_13	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	regulatory	medium	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]			HMMsoil22408	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	PF00072.31	Response regulator receiver domain									HMMsoil22408	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	FOAM
vRhyme_bin_1__BAr2D2E2F_000000009081_14	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	regulatory	medium	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein			PF17762.9	ParB HTH domain							phrog_25613	""	phrog_25613	""	PHROG
vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337_21	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	regulatory	medium	DNA binding protein					PF13643.12	Domain of unknown function (DUF4145)							phrog_1305	DNA binding protein	phrog_1305	DNA binding protein	PHROG
vRhyme_unbinned_16__MGr3G3H3I_000000046301_1	vRhyme_unbinned_16__MGr3G3H3I_000000046301	vRhyme_unbinned_16__MGr3G3H3I_000000046301	regulatory	medium	narL; two-component system, NarL family, nitrate/nitrite response regulator NarL	K07684	narL; two-component system, NarL family, nitrate/nitrite response regulator NarL	HMMsoil96567	narX; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]; narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]	PF00072.31	Response regulator receiver domain							phrog_731	""	K07684	narL; two-component system, NarL family, nitrate/nitrite response regulator NarL	KEGG
vRhyme_unbinned_20__MGr3G3H3I_000000054425_6	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	regulatory	medium	higA; HTH-type transcriptional regulator / antitoxin HigA	K18831	higA; HTH-type transcriptional regulator / antitoxin HigA	HMMsoil68357	alaA; alanine-synthesizing transaminase [EC:2.6.1.66] [EC:2.6.1.2]; K10907; aminotransferase [EC:2.6.1.-]	PF13560.13	Helix-turn-helix domain							phrog_1373	transcriptional regulator	K18831	higA; HTH-type transcriptional regulator / antitoxin HigA	KEGG
vRhyme_unbinned_29__MGr3G3H3I_000000101571_4	vRhyme_unbinned_29__MGr3G3H3I_000000101571	vRhyme_unbinned_29__MGr3G3H3I_000000101571	regulatory	medium	rfaH; transcriptional antiterminator RfaH	K05785	rfaH; transcriptional antiterminator RfaH			PF02357.25	Transcription termination factor nusG							phrog_6386	transcription antiterminator	K05785	rfaH; transcriptional antiterminator RfaH	KEGG
vRhyme_unbinned_2__MGr3G3H3I_000000004931_25	vRhyme_unbinned_2__MGr3G3H3I_000000004931	vRhyme_unbinned_2__MGr3G3H3I_000000004931	regulatory	medium	RNA-binding protein					PF12961.14	Domain of unknown function (DUF3850)							phrog_986	RNA-binding protein	PF12961.14	Domain of unknown function (DUF3850)	Pfam
vRhyme_unbinned_31__MGr3G3H3I_000000103998_23	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	regulatory	medium	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress			HMMsoil4371	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress	PF04800.18	NADH dehydrogenase ubiquinone Fe-S protein 4									HMMsoil4371	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress	FOAM
vRhyme_unbinned_45__MGr3G3H3I_000000148917_1	vRhyme_unbinned_45__MGr3G3H3I_000000148917	vRhyme_unbinned_45__MGr3G3H3I_000000148917	regulatory	medium	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein			PF07506.18	RepB plasmid partitioning protein							phrog_31451	""	PF07506.18	RepB plasmid partitioning protein	Pfam
vRhyme_unbinned_45__MGr3G3H3I_000000148917_11	vRhyme_unbinned_45__MGr3G3H3I_000000148917	vRhyme_unbinned_45__MGr3G3H3I_000000148917	regulatory	medium	transcriptional repressor			HMMsoil52190	aroK, aroL; shikimate kinase [EC:2.7.1.71]	PF01381.29	Helix-turn-helix							phrog_38027	transcriptional repressor	HMMsoil52190	aroK, aroL; shikimate kinase [EC:2.7.1.71]	FOAM
vRhyme_unbinned_45__MGr3G3H3I_000000148917_2	vRhyme_unbinned_45__MGr3G3H3I_000000148917	vRhyme_unbinned_45__MGr3G3H3I_000000148917	regulatory	medium	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein			PF07506.18	RepB plasmid partitioning protein							phrog_3951	""	phrog_3951	""	PHROG
vRhyme_unbinned_53__MGr3G3H3I_000000162938_19	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	regulatory	medium	rghR; HTH-type transcriptional regulator, competence development regulator	K22299	rghR; HTH-type transcriptional regulator, competence development regulator	HMMsoil35586	CYP81F; indol-3-yl-methylglucosinolate hydroxylase [EC:1.14.-.-]	PF13560.13	Helix-turn-helix domain									K22299	rghR; HTH-type transcriptional regulator, competence development regulator	KEGG
vRhyme_unbinned_53__MGr3G3H3I_000000162938_3	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	regulatory	medium	K02483; two-component system, OmpR family, response regulator	K02483	K02483; two-component system, OmpR family, response regulator	HMMsoil16700	vicK; two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]; K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	PF00486.35	Transcriptional regulatory protein, C terminal							phrog_731	""	K02483	K02483; two-component system, OmpR family, response regulator	KEGG
vRhyme_unbinned_55__MGr3G3H3I_000000165953_4	vRhyme_unbinned_55__MGr3G3H3I_000000165953	vRhyme_unbinned_55__MGr3G3H3I_000000165953	regulatory	medium	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein											phrog_3694	""	phrog_3694	""	PHROG
vRhyme_unbinned_85__MGr3G3H3I_000000273023_1	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	regulatory	medium	flgR; two-component system, NtrC family, response regulator	K02481	flgR; two-component system, NtrC family, response regulator	HMMsoil60604	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3] [EC:1.8.98.4] [EC:1.8.98.5] [EC:1.8.98.6]	PF00158.33	Sigma-54 interaction domain							phrog_7998	""	K02481	flgR; two-component system, NtrC family, response regulator	KEGG
vRhyme_unbinned_89__MGr3G3H3I_000000289364_15	vRhyme_unbinned_89__MGr3G3H3I_000000289364	vRhyme_unbinned_89__MGr3G3H3I_000000289364	regulatory	medium	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein			PF02195.26	ParB N-terminal domain							phrog_3264	ParB-like partition protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	KEGG
vRhyme_unbinned_99__MGr3G3H3I_000000077756|provirus_33272_71474_6	vRhyme_unbinned_99__MGr3G3H3I_000000077756|provirus_33272_71474	vRhyme_unbinned_99__MGr3G3H3I_000000077756|provirus_33272_71474	regulatory	medium	HTH DNA binding protein					PF12728.14	Helix-turn-helix domain							phrog_15534	HTH DNA binding protein	PF12728.14	Helix-turn-helix domain	Pfam
vRhyme_bin_11__MHr2D2E2F_000000049988_25	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	regulatory	low	cheY; two-component system, chemotaxis family, chemotaxis protein CheY	K03413	cheY; two-component system, chemotaxis family, chemotaxis protein CheY	HMMsoil22408	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	PF00072.31	Response regulator receiver domain							phrog_731	""	K03413	cheY; two-component system, chemotaxis family, chemotaxis protein CheY	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000014874_1	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000014874_10	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000014874_11	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000014874_12	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000014874_13	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	Concanavalin A-like lectin/glucanases superfamily					PF13385.14	Concanavalin A-like lectin/glucanases superfamily									PF13385.14	Concanavalin A-like lectin/glucanases superfamily	Pfam
vRhyme_bin_11__LABRr1A1B1C_000000014874_14	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000014874_15	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	tail length tape measure protein													phrog_339	tail length tape measure protein	phrog_339	tail length tape measure protein	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000014874_16	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000014874_17	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	Kelch motif			HMMsoil102722	E2.7.11.1; non-specific serine/threonine protein kinase [EC:2.7.11.1]	PF01344.32	Kelch motif							phrog_12615	""	PF01344.32	Kelch motif	Pfam
vRhyme_bin_11__LABRr1A1B1C_000000014874_2	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000014874_3	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]			HMMsoil3470	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	PF01381.29	Helix-turn-helix									HMMsoil3470	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	FOAM
vRhyme_bin_11__LABRr1A1B1C_000000014874_4	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	head-tail joining													phrog_5774	head-tail joining	phrog_5774	head-tail joining	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000014874_5	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	portal protein					PF05136.19	Phage portal protein, lambda family							phrog_21	portal protein	phrog_21	portal protein	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000014874_6	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	major head protein					PF05065.20	Phage capsid family							phrog_617	major head protein	phrog_617	major head protein	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000014874_7	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000014874_8	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	""													phrog_5707	""	phrog_5707	""	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000014874_9	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	head closure Hc1					PF05354.18	Phage Head-Tail Attachment protein							phrog_82	head closure Hc1	phrog_82	head closure Hc1	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000039540_1	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_11	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_13	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_14	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_15	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_16	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_17	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_18	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_19	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_2	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	homing endonuclease													phrog_19446	homing endonuclease	phrog_19446	homing endonuclease	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000039540_20	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	nucleotidyltransferase	K07074	K07074; uncharacterized protein			PF10127.16	RNA repair pathway DNA polymerase beta family							phrog_388	nucleotidyltransferase	phrog_388	nucleotidyltransferase	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000039540_21	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_22	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_23	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_24	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_25	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_26	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_27	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_29	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_3	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	HNH endonuclease					PF14279.13	HNH endonuclease							phrog_16726	HNH endonuclease	phrog_16726	HNH endonuclease	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000039540_30	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_35	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_4	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_42	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	Domain of unknown function (DUF4326)					PF14216.12	Domain of unknown function (DUF4326)									PF14216.12	Domain of unknown function (DUF4326)	Pfam
vRhyme_bin_11__LABRr1A1B1C_000000039540_43	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_44	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_5	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000039540_6	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	endonuclease VII	K27287	K27287; Autographiviridae endonuclease VII			PF02945.22	Recombination endonuclease VII							phrog_2914	endonuclease VII	phrog_2914	endonuclease VII	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000039540_8	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	HNH endonuclease													phrog_2255	HNH endonuclease	phrog_2255	HNH endonuclease	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000080164_1	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000080164_10	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000080164_11	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000080164_12	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	DNA polymerase exonuclease subunit	K09951	cas2; CRISPR-associated protein Cas2	HMMsoil94024	dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]; dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]	PF00929.32	Exonuclease							phrog_192	DNA polymerase exonuclease subunit	phrog_192	DNA polymerase exonuclease subunit	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000080164_13	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000080164_14	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	Bifunctional DNA primase/polymerase, N-terminal					PF09250.17	Bifunctional DNA primase/polymerase, N-terminal							phrog_3022	DNA primase	PF09250.17	Bifunctional DNA primase/polymerase, N-terminal	Pfam
vRhyme_bin_11__LABRr1A1B1C_000000080164_15	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	pol; Casjensviridae DNA polymerase	K26631	pol; Casjensviridae DNA polymerase	HMMsoil121249	polA; DNA polymerase I [EC:2.7.7.7]									phrog_17	DNA polymerase	K26631	pol; Casjensviridae DNA polymerase	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000080164_16	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
vRhyme_bin_11__LABRr1A1B1C_000000080164_17	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high																		KEGG
