Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Protein in Strict Viral Region	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_bin_11__LABRr1A1B1C_000000014874_16	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000014874_17	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000014874_2	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000014874_5	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	Phage portal protein, lambda family					PF05136.19	Phage portal protein, lambda family							phrog_537	portal protein	PF05136	Phage portal protein, lambda family	Pfam
vRhyme_bin_11__LABRr1A1B1C_000000014874_6	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	major head protein					PF05065.20	Phage capsid family							phrog_617	major head protein	phrog_617	major head protein	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000014874_7	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000014874_8	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000014874_9	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_1	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_10	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_11	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_12	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_13	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_14	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_15	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_16	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_17	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_18	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_19	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_2	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_20	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	nucleotidyltransferase	K07074	K07074; uncharacterized protein			PF10127.16	RNA repair pathway DNA polymerase beta family							phrog_388	nucleotidyltransferase	phrog_388	nucleotidyltransferase	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000039540_21	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_22	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_23	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_24	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_25	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_26	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_27	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_28	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_29	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_3	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false	HNH endonuclease													phrog_16726	HNH endonuclease	phrog_16726	HNH endonuclease	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000039540_30	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_31	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_32	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_33	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_34	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_35	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_36	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_37	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_38	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_39	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_4	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_40	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_41	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_42	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	Domain of unknown function (DUF4326)					PF14216.13	Domain of unknown function (DUF4326)									PF14216	Domain of unknown function (DUF4326)	Pfam
vRhyme_bin_11__LABRr1A1B1C_000000039540_43	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_44	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_5	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_6	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	endonuclease VII	K27287	K27287; Autographiviridae endonuclease VII											phrog_2914	endonuclease VII	phrog_2914	endonuclease VII	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000039540_7	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000039540_8	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	HNH endonuclease													phrog_2255	HNH endonuclease	phrog_2255	HNH endonuclease	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000039540_9	vRhyme_bin_11__LABRr1A1B1C_000000039540	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000080164_1	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000080164_10	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000080164_11	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000080164_12	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	DNA polymerase exonuclease subunit													phrog_192	DNA polymerase exonuclease subunit	phrog_192	DNA polymerase exonuclease subunit	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000080164_13	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000080164_14	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000080164_15	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	pol; Casjensviridae DNA polymerase	K26631	pol; Casjensviridae DNA polymerase	HMMsoil121249	polA; DNA polymerase I [EC:2.7.7.7]									phrog_10285	DNA polymerase	K26631	pol; Casjensviridae DNA polymerase	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000080164_16	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000080164_17	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000080164_18	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	uvrD, pcrA; ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	K03657	uvrD, pcrA; ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]			PF00580.28	UvrD/REP helicase N-terminal domain							phrog_1967	DNA helicase	K03657	uvrD, pcrA; ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000080164_2	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000080164_3	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000080164_4	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	DNA transfer protein													phrog_1745	DNA transfer protein	phrog_1745	DNA transfer protein	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000080164_5	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000080164_6	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	""													phrog_18716	""	phrog_18716	""	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000080164_7	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000080164_8	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000080164_9	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_1	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_10	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_11	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_12	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	HNH endonuclease													phrog_3377	HNH endonuclease	phrog_3377	HNH endonuclease	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000092334_13	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	Family of unknown function (DUF5715)					PF18979.6	Family of unknown function (DUF5715)									PF18979	Family of unknown function (DUF5715)	Pfam
vRhyme_bin_11__LABRr1A1B1C_000000092334_14	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_15	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_16	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	""													phrog_20259	""	phrog_20259	""	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000092334_17	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_18	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_19	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_2	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_20	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_21	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_22	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_23	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_24	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_25	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_26	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_27	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_28	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_29	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_3	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_30	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_31	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_32	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_33	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_34	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_35	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	K02343	dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	HMMsoil100055	holA; DNA polymerase III subunit delta [EC:2.7.7.7]; holB; DNA polymerase III subunit delta' [EC:2.7.7.7]; dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]									phrog_5846	clamp loader of DNA polymerase	K02343	dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000092334_4	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_5	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_6	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_7	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_8	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000092334_9	vRhyme_bin_11__LABRr1A1B1C_000000092334	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000098710_1	vRhyme_bin_11__LABRr1A1B1C_000000098710	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000098710_2	vRhyme_bin_11__LABRr1A1B1C_000000098710	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000098710_3	vRhyme_bin_11__LABRr1A1B1C_000000098710	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000098710_4	vRhyme_bin_11__LABRr1A1B1C_000000098710	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000098710_5	vRhyme_bin_11__LABRr1A1B1C_000000098710	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false	endonuclease VII	K27287	K27287; Autographiviridae endonuclease VII			PF02945.22	Recombination endonuclease VII							phrog_2914	endonuclease VII	phrog_2914	endonuclease VII	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000098710_6	vRhyme_bin_11__LABRr1A1B1C_000000098710	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000098710_7	vRhyme_bin_11__LABRr1A1B1C_000000098710	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000098710_8	vRhyme_bin_11__LABRr1A1B1C_000000098710	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000105942_10	vRhyme_bin_11__LABRr1A1B1C_000000105942	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000105942_11	vRhyme_bin_11__LABRr1A1B1C_000000105942	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000105942_12	vRhyme_bin_11__LABRr1A1B1C_000000105942	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000105942_13	vRhyme_bin_11__LABRr1A1B1C_000000105942	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000105942_14	vRhyme_bin_11__LABRr1A1B1C_000000105942	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000105942_15	vRhyme_bin_11__LABRr1A1B1C_000000105942	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	head closure Hc3													phrog_578	head closure Hc3	phrog_578	head closure Hc3	PHROG
